model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
openrouter/meta-llama/llama-3.1-8b-instruct,system1,83,0,y_arrestedafter2002,False,NO,85.0,True,0.6327359676361084,246,17,263,"{
  ""prediction"": ""NO"",
  ""confidence"": 85
}",,2026-02-27T19:32:39.105143
openrouter/meta-llama/llama-3.1-8b-instruct,system1,53,0,y_arrestedafter2002,False,YES,85.0,False,0.8020920753479004,257,17,274,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-27T19:32:39.738206
openrouter/meta-llama/llama-3.1-8b-instruct,system1,70,0,y_arrestedafter2002,False,YES,82.0,False,1.7725279331207275,248,17,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-27T19:32:40.540468
openrouter/meta-llama/llama-3.1-8b-instruct,system1,45,0,y_arrestedafter2002,True,YES,82.0,True,0.5086221694946289,256,17,273,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-27T19:32:42.313396
openrouter/meta-llama/llama-3.1-8b-instruct,system1,44,0,y_arrestedafter2002,False,NO,42.0,True,0.6101100444793701,248,17,265,"{
  ""prediction"": ""NO"",
  ""confidence"": 42
}",,2026-02-27T19:32:42.822351
openrouter/meta-llama/llama-3.1-8b-instruct,system1,39,0,y_arrestedafter2002,False,YES,82.0,False,0.5238637924194336,258,17,275,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-27T19:32:43.432893
openrouter/meta-llama/llama-3.1-8b-instruct,system1,22,0,y_arrestedafter2002,False,YES,87.0,False,0.5396931171417236,252,17,269,"{
  ""prediction"": ""YES"",
  ""confidence"": 87
}",,2026-02-27T19:32:43.957378
openrouter/meta-llama/llama-3.1-8b-instruct,system1,80,0,y_arrestedafter2002,False,YES,85.0,False,0.5109670162200928,247,17,264,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-27T19:32:44.497502
openrouter/meta-llama/llama-3.1-8b-instruct,system1,10,0,y_arrestedafter2002,False,YES,82.0,False,0.8511049747467041,253,17,270,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-27T19:32:45.008759
openrouter/meta-llama/llama-3.1-8b-instruct,system1,0,0,y_arrestedafter2002,True,YES,85.0,True,0.8959081172943115,250,17,267,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-27T19:32:45.861739
openrouter/meta-llama/llama-3.1-8b-instruct,system1,18,0,y_arrestedafter2002,False,,,,0.7641699314117432,248,8,256,I can't fulfill that request.,,2026-02-27T19:32:46.758228
openrouter/meta-llama/llama-3.1-8b-instruct,system1,30,0,y_arrestedafter2002,True,YES,82.0,True,1.2990179061889648,255,17,272,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-27T19:32:47.523455
openrouter/meta-llama/llama-3.1-8b-instruct,system1,73,0,y_arrestedafter2002,False,YES,82.0,False,1.1290111541748047,241,17,258,"{
  ""prediction"": ""YES"",
  ""confidence"": 82
}",,2026-02-27T19:32:48.822773
openrouter/meta-llama/llama-3.1-8b-instruct,system1,33,0,y_arrestedafter2002,False,YES,85.0,False,0.5161099433898926,257,17,274,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-27T19:32:49.952444
openrouter/meta-llama/llama-3.1-8b-instruct,system1,90,0,y_arrestedafter2002,False,YES,85.0,False,0.6270349025726318,249,17,266,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-27T19:32:50.469101
